iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,f_prev,f_next,grad_norm_prev,grad_norm_next,actual_reduction,accepted,gtd,rho,sigma,model_decrease,actual_decrease,lambda_value,cubic_solver,projected_grad_norm,u_norm,y_norm,hvp_calls_iter,hvp_calls_cum,rk_hvp_calls_iter,rk_hvp_calls_cum,subprob_hvp_calls_iter,subprob_hvp_calls_cum,rk_residual_norm_init,rk_residual_norm_final,rk_inner_minres_total_iters,rk_minres_fail,alpha_ws,seed_sketch,rk_seed_base,rk_steps_taken,rk_stop_reason
27,0.003447171339443673,0.000525780672810177,41.44635597758148,1.0,1763.4273077100515,73.44662263896316,0.005504205129216027,0.003447171339443673,0.0008120433591229933,0.000525780672810177,0.0020570337897723536,1,-0.0027422300291926496,1.3292449799913568,1e-08,0.0015475204501323218,0.0020570337897723536,6.171830129787533e-07,lanczos,0.0008462199929914504,41.41845088110139,30658.756003357168,4403,105572,4268,102431,135,3141,0.7635071429621022,0.12266345972538874,4166,0,1.9939440848399745,3043713942,26,100,max_steps
28,0.0023788977649160784,0.0005287078241283421,34.08411138726635,1.0,1837.1457722401246,73.71835480583832,0.003447171339443673,0.0023788977649160784,0.000525780672810177,0.0005287078241283421,0.0010682735745275946,1,-0.0015145083980441295,1.2976107239903572,1e-08,0.0008232619804824711,0.0010682735745275946,3.409581733587675e-07,lanczos,0.0005139910958085386,34.09581733587675,19945.08252446586,4420,109992,4279,106710,141,3282,1.2194631796105602,0.14119053426730685,4177,0,1.9864194358546552,587957511,27,100,max_steps
29,0.0023609566418443828,0.00015673488886238762,2.0555616970169637,1.0,1911.6606400990859,74.51475890306756,0.0023788977649160784,0.0023609566418443828,0.0005287078241283421,0.00015673488886238762,1.794112307169568e-05,1,-3.501703302224751e-05,1.0243297870330117,1e-08,1.7514987164107025e-05,1.794112307169568e-05,1.5782813699199373e-08,lanczos,0.0005627937290433938,1.5782813699199372,18805.08751561607,4471,114463,4312,111022,159,3441,0.9151436401582022,0.11735642978727856,4210,0,2.083549809203185,1432336787,28,100,max_steps
30,0.002214484997768313,0.00019181923327111003,9.737436849691443,1.0,1983.4272918859497,71.7665438791737,0.0023609566418443828,0.002214484997768313,0.00015673488886238762,0.00019181923327111003,0.00014647164407606984,1,-0.00028933611462493304,1.0019409217631072,1e-08,0.00014618790479015956,0.00014647164407606984,9.6998974521176e-08,lanczos,0.0001543546390922001,9.6998974521176,47639.447512951185,4307,118770,4162,115184,145,3586,1.0407065200264587,0.3926533497044197,4060,0,1.9676955707221007,352480436,29,100,max_steps
31,0.0018536647459960357,0.0003050533331678954,25.49048511785229,1.0,2054.1669070553035,70.73949042707682,0.002214484997768313,0.0018536647459960357,0.00019181923327111003,0.0003050533331678954,0.00036082025177227727,1,-0.0005296565622595206,1.2352272183412736,1e-08,0.00029210840436045865,0.00036082025177227727,2.539628319387141e-07,lanczos,0.00018550709797547543,25.396283193871405,55685.545353790694,4246,123016,4105,119289,141,3727,2.882604117108928,0.27051752907312904,4003,0,2.0684536950966788,31145354,30,100,max_steps
32,0.0016893017579300879,0.0001256848420186528,11.580492136386896,1.0,2128.0543295871466,73.88730994379148,0.0018536647459960357,0.0016893017579300879,0.0003050533331678954,0.0001256848420186528,0.00016436298806594778,1,-0.0002871565104224754,1.1245963684720446,1e-08,0.00014615287108677298,0.00016436298806594778,1.1563940780796403e-07,lanczos,0.0003317222219316761,11.563940780796402,21099.199690586735,4427,127443,4296,123585,131,3858,0.8594487981030147,0.15262312552656987,4194,0,2.246044177790147,2124181941,31,100,max_steps
33,0.001435087281888125,0.00016285063323549575,17.40499317437299,1.0,2197.697013163008,69.64257755177096,0.0016893017579300879,0.001435087281888125,0.0001256848420186528,0.00016285063323549575,0.0002542144760419628,1,-0.00040727402702394016,1.1972311492925554,1e-08,0.000212335334068261,0.0002542144760419628,1.734700031353902e-07,lanczos,0.000131410129958622,17.34700031353902,53146.9103590815,4176,131619,4043,127628,133,3991,1.3414218943104976,0.33403800103485565,3941,0,2.069695648126257,1230359124,32,100,max_steps
34,0.0012765393741024785,0.00013445321386101547,12.139380537901772,1.0,2268.7946196291596,71.09749813796952,0.001435087281888125,0.0012765393741024785,0.00016285063323549575,0.00013445321386101547,0.00015854790778564655,1,-0.00027503907179977666,1.1289090937810646,1e-08,0.00014044346764416674,0.00015854790778564655,1.2063062173648733e-07,lanczos,0.00016081204376447626,12.063062173648733,41383.67740983618,4263,135882,4132,131760,131,4122,1.25165010649735,0.20266000847120808,4030,0,2.4997662006716457,4183152444,33,100,max_steps
35,0.0010675950651061045,0.00011235723181985331,17.722026962792015,1.0,2339.2028075931594,70.40807251213118,0.0012765393741024785,0.0010675950651061045,0.00013445321386101547,0.00011235723181985331,0.00020894430899637403,1,-0.00031880680914364383,1.239146491301034,1e-08,0.00016861953809593107,0.00020894430899637403,1.7685014351584787e-07,lanczos,0.0001451135042584153,17.685014351584787,54671.28407177938,4218,140100,4089,135849,129,4251,1.1377965565862276,0.22304408000289633,3987,0,2.1386912466261485,3864314740,34,100,max_steps
36,0.0009649867471670613,8.168422689494734e-05,10.708949687223233,1.0,2409.2264293581247,70.02351162116975,0.0010675950651061045,0.0009649867471670613,0.00011235723181985331,8.168422689494734e-05,0.00010260831793904317,1,-0.00017745120015702945,1.1309594027976335,1e-08,9.072679150570997e-05,0.00010260831793904317,1.0636689690696443e-07,lanczos,0.00012286208995940148,10.636689690696443,51483.0931334487,4197,144297,4074,139923,123,4374,0.947408052460714,0.21756529260445984,3972,0,2.2400544147569863,2181434260,35,100,max_steps
