iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,accepted,gtd,rho,sigma,model_decrease,actual_decrease,hvp_calls_iter,hvp_calls_cum,subspace_dim,lambda_value,seed_sketch
0,2.3025850929940463,1.9158613282439758,0.0,0.0,0.0,0.0,,,,1.0,,,0,0,200,0.0,
1,1.2554883320099208,1.1385915342107882,3.378219241977643,1.0,0.8520472371019423,0.7736655678600073,1,-1.5649794790225129,1.140408656609501,0.5,0.9181767912015004,1.0470967609841255,49,49,200,0.9337484317655219,3757552657
2,0.7768287047459946,0.5013971639586517,2.992093163861631,1.0,1.706884949002415,0.854752223007381,1,-0.6677254633879169,1.2603530669740626,0.25,0.37978217358817024,0.4786596272639262,55,104,200,0.409917022484941,673228719
3,0.5196438221775237,0.2716627070540267,2.840554262955824,1.0,2.7800856339745224,1.0731178503483534,1,-0.35964824711554805,1.2881612570257925,0.125,0.19965270742754637,0.25718488256847094,69,173,200,0.19518255053047884,3241444873
4,0.3935260230959337,0.1621480960390369,2.758323945381483,1.0,3.982155380770564,1.2019832110963762,1,-0.17459251641899362,1.3027758322807488,0.0625,0.09680698394657627,0.12611779908159,77,250,200,0.09624872344753921,3685993406
5,0.31338616871288566,0.10164374186037772,2.8873044560185352,1.0,5.317371783778071,1.3351365011185408,1,-0.11121392890803619,1.304766189530478,0.03125,0.0614208545761647,0.08013985438304805,85,335,200,0.05145876609575162,1216546553
6,0.2566915637860552,0.061164031632363225,3.2539993859225365,1.0,6.8146233460865915,1.4971739649772644,1,-0.07944758794283681,1.2965811480093066,0.015625,0.04372622956447886,0.05669460492683048,93,428,200,0.02862366333964138,2078861726
7,0.22579671819806382,0.043749859224269924,3.4664726738979192,1.0,8.497933798003942,1.6832325072027743,1,-0.04276162598482201,1.2966759892188546,0.0078125,0.023826187763839962,0.030894845587991354,105,533,200,0.015300733234549294,2471122328
8,0.20017216975115817,0.030106943897817436,3.8780814981783305,1.0,10.454723386093974,1.9567066128365695,1,-0.03715548864450524,1.261457783685324,0.00390625,0.020313441145881263,0.02562454844690565,121,654,200,0.008598084870129275,23012616
9,0.1823193685003121,0.024016565940343158,4.175719289137968,1.0,12.730048577766865,2.275244452059269,1,-0.02648354532965999,1.2425758695935711,0.001953125,0.014367574397437369,0.017852801250846068,139,793,200,0.0046886132566667385,3031610183
10,0.16648016409508706,0.019332755107663017,4.834568944930718,1.0,15.270882803015411,2.540751948952675,1,-0.024329706121047897,1.2146726134964896,0.0009765625,0.01303989587748355,0.015839204405225044,153,946,200,0.002715690121683083,2976135721
11,0.1558446768147583,0.015095497616661428,5.049896982004181,1.0,18.11798677686602,2.8469511568546295,1,-0.01685627268865464,1.1915712015655135,0.00048828125,0.008925599465945143,0.01063548728032876,169,1115,200,0.0014172204646801067,556745865
12,0.14632462713657313,0.012707999820524528,5.542327576788113,1.0,21.50405894499272,3.3859863998368382,1,-0.01565400893448075,1.1668313121785836,0.000244140625,0.008158891160034393,0.009520049678185177,191,1306,200,0.0007801181718069631,4118645239
13,0.13902005585684846,0.0116193851886775,5.992461075595334,1.0,25.093891883734614,3.5897473101504147,1,-0.012696833795647159,1.1152067624615378,0.0001220703125,0.006549970396163731,0.00730457127972467,209,1515,200,0.00041617298868279424,2090914255
14,0.1320331769299015,0.010160586013797266,6.521899000508432,1.0,28.891158824786544,3.797172721941024,1,-0.01230969510291152,1.1085473092827955,6.103515625e-05,0.006302734099338814,0.0069868789269469656,219,1734,200,0.00023646489727533588,1802160804
15,0.12574778037868614,0.009495733407860002,7.4882830907063145,1.0,32.96740916511044,4.076158144976944,1,-0.011555388380760827,1.069946248284866,3.0517578125e-05,0.005874497491150514,0.00628539655121535,233,1967,200,0.00012934031712642398,3957305396
16,0.12037274359806852,0.00921477755068738,6.294676247867275,1.0,36.94406434381381,3.9765629158355296,1,-0.010017235593151236,1.0665729945139748,1.52587890625e-05,0.005039539542314185,0.005375036780617626,223,2190,200,5.56978542485279e-05,2416193258
17,0.11520769128289055,0.008915247196058382,6.561874443239278,1.0,41.00509575987235,4.06092644110322,1,-0.009801936160246194,1.050116258626966,7.62939453125e-06,0.004918552848549656,0.00516505231517797,229,2419,200,2.9069842743552744e-05,2322685169
18,0.11146122195844432,0.007443451772782225,5.55000721833154,1.0,45.33679767884314,4.331608328036964,1,-0.007091507378049404,1.055149808968463,3.814697265625e-06,0.0035506515687178586,0.003746469324446222,245,2664,200,1.1959488179174499e-05,3860999861
19,0.10845493953107281,0.006641063883820641,5.5049899923641945,1.0,49.664295830763876,4.327406306751072,1,-0.005813045307871753,1.0333338897554214,1.9073486328125e-06,0.002909304008294033,0.003006282427371512,243,2907,200,6.238788105385324e-06,3521360814
20,0.10587247603344235,0.006181277668417288,4.925795193540757,1.0,53.86960130371153,4.205208390019834,1,-0.004961738295268268,1.0405574814962113,9.5367431640625e-07,0.002481807630576207,0.002582463497630458,235,3142,200,2.7361834803391303e-06,2710367621
21,0.10337796510361831,0.006018548990487832,5.074892241102248,1.0,58.428426096681505,4.558650811668485,1,-0.004893133439460228,1.019379464226969,4.76837158203125e-07,0.0024470876816374927,0.0024945109298240425,251,3393,200,1.4166975934233625e-06,2613302452
22,0.10138299483965148,0.0059921078045944605,4.539300348987976,1.0,62.605835411697626,4.177314675878733,1,-0.003943729692554364,1.0116223673130058,2.384185791015625e-07,0.0019720503702045666,0.001994970263966833,233,3626,200,6.325535960329685e-07,691998362
23,0.09887616199926161,0.005442566143214526,5.182957120060509,1.0,66.89048870885745,4.284548182040453,1,-0.004880684700405244,1.0271923782951657,1.1920928955078125e-07,0.0024404706395412196,0.0025068328403898693,237,3863,200,3.5236553907094207e-07,3097918053
24,0.09716372924776318,0.0051480117834641044,4.165296911493774,1.0,71.21985568199307,4.329261089209467,1,-0.003396333194919691,1.0083813444784502,5.960464477539063e-08,0.0016981995560262258,0.0017124327514984328,241,4104,200,1.4110710937260388e-07,1397135628
25,0.09516193315605977,0.00509612077284475,4.859416428330745,1.0,75.56298338109627,4.343032082077116,1,-0.003874983530130915,1.0331750851406507,2.9802322387695312e-08,0.0019375187424606696,0.002001796091703409,241,4345,200,8.317052597068646e-08,227095882
26,0.09332787650126913,0.004799385451096324,4.621629599575079,1.0,79.90927305491641,4.346192243043333,1,-0.003599075550264954,1.0191750977344958,1.4901161193847656e-08,0.0017995501056369287,0.001834056654790639,241,4586,200,4.035420158764507e-08,1284190969
27,0.09153972317837647,0.00494981321917176,5.138114989741002,1.0,84.24810416670516,4.338732281699777,1,-0.0034901846073451415,1.024670377572153,1e-08,0.0017451010217837037,0.0017881533228926577,241,4827,200,2.2653799874938783e-08,3043713942
