iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,accepted,gtd,rho,sigma,model_decrease,actual_decrease,hvp_calls_iter,hvp_calls_cum,subspace_dim,lambda_value,seed_sketch
0,2.3025850929940463,1.9158613282439758,0.0,0.0,0.0,0.0,,,,1.0,,,0,0,200,0.0,
1,1.3288673182796662,1.1170317586114529,3.2897692779107213,1.0,0.9798863050527871,0.8952470333315432,1,-1.4208448455505653,1.167709378128346,0.5,0.8338699619549996,0.9737177747143801,47,47,200,0.9047832717750104,1641411168
2,0.8074370590265127,0.5330902015402411,3.070590696903853,1.0,1.9670680901035666,0.987086518201977,1,-0.719016451834649,1.2702240887042588,0.25,0.4105025750102555,0.5214302592531534,55,102,200,0.42449355804157074,1454127163
3,0.5390427102263473,0.28627614276482305,2.829110682128974,1.0,3.2030517640523612,1.2358948322944343,1,-0.3750834892339237,1.2910216334837399,0.125,0.20789299097639466,0.26839434880016544,69,171,200,0.19688264095164612,2749604155
4,0.39793779116045336,0.16537865533097587,2.8588725568263387,1.0,4.584591204766184,1.3814463401213288,1,-0.19765373317169144,1.295831663554854,0.0625,0.10889139618552068,0.14110491906589395,77,248,200,0.09808176051906263,3056722145
5,0.314150054950746,0.09524451189374342,2.8785212315619337,1.0,6.116924433037639,1.5322471102699637,1,-0.1185435042032463,1.2926543777315151,0.03125,0.06481835953454691,0.08378773620970736,85,333,200,0.0506577898626672,3734005922
6,0.26502131234563925,0.0635267012575363,3.1935586430275227,1.0,7.8859087261371315,1.7688995730131865,1,-0.0686448758332902,1.2909335795334786,0.015625,0.03805675472696359,0.049128742605106746,99,432,200,0.02796967915307153,480482724
7,0.23255816086581857,0.044861364742702976,3.6055691793738784,1.0,9.79548595706001,1.9094915320165455,1,-0.04538229957393372,1.2867884433962675,0.0078125,0.025228040900133905,0.03246315147982068,107,539,200,0.015489273315796817,1227430691
8,0.20518754521564408,0.03279277039971923,4.073188108417523,1.0,12.098100932780653,2.3025292777456343,1,-0.03909539314448774,1.2748342702807376,0.00390625,0.021469940280274286,0.027370615650174485,127,666,200,0.00889569572239788,3112422837
9,0.1848943617770462,0.02452555006125795,4.314315523664975,1.0,14.61647127289325,2.518285130150616,1,-0.029923136110263007,1.2526598026472855,0.001953125,0.016200075547815655,0.020293183438597873,141,807,200,0.004840125838852166,2543531098
