iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,accepted,gtd,rho,sigma,model_decrease,actual_decrease,hvp_calls_iter,hvp_calls_cum,subspace_dim,lambda_value,seed_sketch
0,2.3025850929940463,1.9158613282439758,0.0,0.0,0.0,0.0,,,,1.0,,,0,0,100,0.0,
1,1.410340608663512,1.0357971976335252,4.252013224986697,1.0,0.6774951629340649,0.6065841866657138,1,-1.3351004794347714,1.1572256160418224,0.5,0.7710203368832862,0.8922444843305344,49,49,100,0.8530779220989021,3757552657
2,0.873653394366273,0.5921091528910642,4.207227741615079,1.0,1.4068663739599288,0.7292907522059977,1,-0.7834955068371333,1.2216245232860732,0.25,0.43932256112016554,0.536687214297239,57,106,100,0.41478473675953437,673228719
3,0.6183343800274974,0.3636396264486062,3.805506862536163,1.0,2.202843868173659,0.7959031802602112,1,-0.36785195156445094,1.2640656917177693,0.125,0.20198239380408817,0.2553190143387756,65,171,100,0.1891854022792571,3241444873
4,0.472692226160919,0.22393588345737342,3.6706489404559375,1.0,3.1893483069725335,0.9864230002276599,1,-0.2155183185351517,1.26054337018223,0.0625,0.11553918517339369,0.14564215386657842,81,252,100,0.09001552936403678,3685993406
5,0.38732767699173726,0.15822758138963963,3.589787303073435,1.0,4.244291034992784,1.0548717668280005,1,-0.12869851728085455,1.2484451960628815,0.03125,0.06837668921182032,0.08536454916918174,87,339,100,0.04553162138248607,1216546553
6,0.32266035947838007,0.1065335575035874,4.129972069694696,1.0,5.32704465277493,1.082685450091958,1,-0.09812941698820132,1.241179223059886,0.015625,0.05210151468208797,0.06466731751335719,89,428,100,0.026106949142769488,2078861726
7,0.28248152748869154,0.07808720599563375,4.047100754449702,1.0,6.488641285803169,1.1615285347215831,1,-0.06319424549490321,1.2200381474029103,0.0078125,0.03293243910054536,0.040178831989688524,95,523,100,0.012506193858776273,2471122328
8,0.2492340736173061,0.05872915280089063,4.482750119432696,1.0,7.716848950833082,1.2281390079297125,1,-0.054103855040997295,1.1880975729840964,0.00390625,0.02798377391503222,0.033247453871385446,101,624,100,0.0069880909162772726,23012616
9,0.22775486479232743,0.047998931594993716,4.606079819725363,1.0,9.064502654131502,1.3475832999683917,1,-0.0361644430068732,1.1555152988018624,0.001953125,0.018588424443406467,0.02147920882497867,111,735,100,0.0035919641614225576,3031610183
10,0.20684566356033063,0.039008486831827845,4.9450301212486805,1.0,10.434869404882193,1.3702990729361773,1,-0.036030897370691886,1.1388457411399793,0.0009765625,0.018359994226317945,0.0209092012319968,109,844,100,0.0019904563293659796,2976135721
11,0.19516640827532375,0.032215601576559075,4.120220621713966,1.0,11.855704220943153,1.4207392698153853,1,-0.02126956466676473,1.0887442543398786,0.00048828125,0.01072727156855416,0.011679255285006879,117,961,100,0.000808873931143379,556745865
12,0.1851710597235167,0.026315253777265634,4.158278226740989,1.0,13.228041550144553,1.3722649007104337,1,-0.01815461436063159,1.095192813364287,0.000244140625,0.009126565139797324,0.00999534855180706,113,1074,100,0.0004130372637006867,4118645239
