iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,accepted,gtd,rho,sigma,model_decrease,actual_decrease,hvp_calls_iter,hvp_calls_cum,subspace_dim,lambda_value,seed_sketch
0,2.3025850929940463,1.9158613282439758,0.0,0.0,0.0,0.0,,,,1.0,,,0,0,100,0.0,
1,1.332511077399601,1.1375233532854343,4.326962513801731,1.0,0.6871669949032366,0.6083808070980012,1,-1.5943880293239754,1.072505957555584,0.5,0.9044928923335794,0.9700740155944454,49,49,100,0.8634730949861275,819382448
2,0.8632123563782675,0.5845101863148553,3.9997681698882954,1.0,1.4015775681473315,0.7143391221761703,1,-0.6958892545134685,1.2048308981341074,0.25,0.3895141814076357,0.4692987210213334,57,106,100,0.3965417098151685,1645421708
3,0.5931957829495701,0.3400240092959358,3.9489943194277926,1.0,2.263469752855599,0.8618202470242977,1,-0.39087913301305915,1.2584639827264663,0.125,0.2145604301234793,0.27001657342869745,69,175,100,0.1928322153449733,3451799802
4,0.4586914043154899,0.2156061714553772,3.5549065779133517,1.0,3.2377790668979287,0.974238351918757,1,-0.19526905764158614,1.274145326697902,0.0625,0.10556439349243167,0.1345043786340802,77,252,100,0.09058974086988508,118549108
5,0.38400891034944645,0.14804652201329402,3.771524159391502,1.0,4.289708664175123,1.0518581471405923,1,-0.11007468516270584,1.2577461986006417,0.03125,0.059378031950432106,0.07468249396604343,83,335,100,0.046682775002114894,2942680743
6,0.3251615497237775,0.10610110208621669,4.138815328712166,1.0,5.390648960135877,1.1008674493059516,1,-0.08864311456011424,1.2465833878337296,0.015625,0.0472069186867089,0.058847360625668976,87,422,100,0.02566554576724945,523213049
7,0.28533033038513766,0.08099835626904842,4.046003863279066,1.0,6.639203990809619,1.2484853970818222,1,-0.06394023537758602,1.197828391700436,0.0078125,0.03325285960378302,0.03983121933863981,99,521,100,0.012339858979602028,2426322228
8,0.2574754333483012,0.06022723177063366,4.178755117809837,1.0,7.991289146244526,1.352012796793133,1,-0.04540024094771101,1.1881270897020395,0.00390625,0.023444374998487717,0.027854897036836468,107,628,100,0.006483620667835144,957805864
9,0.2356870144761907,0.04896331650344743,4.356508109402137,1.0,9.425372467841953,1.4340123608708382,1,-0.037172380280476564,1.144887229351901,0.001953125,0.01903106115040213,0.0217884188721105,113,741,100,0.0034406075753656094,3907547549
10,0.2151590495083507,0.041050326642378884,4.772637303651219,1.0,10.840672818943858,1.4152312749065459,1,-0.03526967776394305,1.14404041357497,0.0009765625,0.01794339144339569,0.020527964967839984,111,852,100,0.001918581083497958,753409714
11,0.19947743328752035,0.03380565567978462,4.408836491751836,1.0,12.319075287785381,1.4782993788830936,1,-0.028021866480276356,1.1096498888430968,0.00048828125,0.01413203964466645,0.015681616220830363,115,967,100,0.000884924367957701,527577828
12,0.19070898535917422,0.03035214053553004,3.8822941416500103,1.0,13.92459708917886,1.605446089990437,1,-0.016315011279308213,1.0697260222399188,0.000244140625,0.008196909999427444,0.008768447928346135,123,1090,100,0.000383423295201204,3540099763
13,0.1822784350125651,0.025538354512721014,4.264536984471605,1.0,15.57672933395952,1.652061423752457,1,-0.01571136945413127,1.0695412427316366,0.0001220703125,0.007882398555363103,0.008430550346609111,127,1217,100,0.00021218889335835982,3520803796
14,0.1757138178240992,0.023460582820626154,3.5153887632593723,1.0,17.123082691803575,1.5462780660018325,1,-0.012192621995891743,1.0755571521786012,6.103515625e-05,0.006103457333874732,0.006564617188465904,119,1336,100,8.61294439708664e-05,4024081427
15,0.1682983480785835,0.020059328253855816,3.937714899138139,1.0,18.729975108988583,1.6068139122799039,1,-0.014241964264543126,1.0406298972292045,3.0517578125e-05,0.007125943397609701,0.007415469745515713,123,1459,100,4.8043462963635135e-05,2223717448
16,0.16343417776727184,0.018058697756500455,3.20415695548877,1.0,20.299188435077667,1.5691376850008965,1,-0.009153281645240348,1.0625256694898513,1.52587890625e-05,0.004577932045300204,0.004864170311311644,121,1580,100,1.932318170510589e-05,4128458621
17,0.15847965335741038,0.01733388202796479,3.9084807814296934,1.0,21.846197068225592,1.5469319447875023,1,-0.009617787302212237,1.0300275892311808,7.62939453125e-06,0.004810089032236073,0.004954524409861466,119,1699,100,1.186405046429239e-05,2122115876
18,0.15347087302124335,0.016913449561741675,3.6618768905287413,1.0,23.483161598909646,1.6368788331747055,1,-0.009627200214835461,1.0404351591449064,3.814697265625e-06,0.004814120603424776,0.005008780336167029,125,1824,100,5.6647163685851586e-06,1210722420
19,0.1500403471108146,0.014543494056474359,3.270785399720985,1.0,25.080508035141975,1.5972684198059142,1,-0.006673951266998152,1.0279833986670295,1.9073486328125e-06,0.003337141353524834,0.00343052591042875,123,1947,100,2.436776170459833e-06,2522150496
20,0.1468792242428996,0.014179815839041982,3.0479063854834436,1.0,26.629538299050182,1.5489522479474545,1,-0.006147999352413029,1.0283167839443699,9.5367431640625e-07,0.0030740749516794987,0.003161122867915006,119,2066,100,1.1800154708602748e-06,1121449590
21,0.14380047528896223,0.013798262087902533,3.0357059630974894,1.0,28.227401439100504,1.5977661283686757,1,-0.005962358894703638,1.0327154581090512,4.76837158203125e-07,0.0029812170717137274,0.003078748953937366,123,2189,100,5.897947851028665e-07,4192066237
22,0.14082520129298157,0.012309385791840082,2.9963045603462364,1.0,29.77385411504656,1.5463750092312694,1,-0.005828647996807,1.020907307714796,2.384185791015625e-07,0.002914342931524829,0.0029752739959806596,119,2308,100,2.9560439905768474e-07,98772705
23,0.13844778053597837,0.011989447363086953,2.935637298314632,1.0,31.395249539986253,1.6213165009394288,1,-0.004612204527162186,1.0309223386817987,1.1920928955078125e-07,0.0023061104292716357,0.0023774207570032013,125,2433,100,1.4072195012390423e-07,1197043677
