iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,accepted,gtd,rho,sigma,model_decrease,actual_decrease,hvp_calls_iter,hvp_calls_cum,subspace_dim,lambda_value,seed_sketch
0,2.3025850929940463,1.9158613282439758,0.0,0.0,0.0,0.0,,,,1.0,,,0,0,100,0.0,
1,1.336968701460167,1.139901038228346,4.456164864701579,1.0,0.6868600500747561,0.6167508228681982,1,-1.5340553068460898,1.0973878861546804,0.5,0.8799225904684103,0.9656163915338793,49,49,100,0.878230614106436,367776961
2,0.9311743475907136,0.6385249099202867,3.86817422561249,1.0,1.4639140567742288,0.7769797616638243,1,-0.5816130463428467,1.2423306415789341,0.25,0.3266395758811125,0.4057943538694534,59,108,100,0.37739113050179685,3166742020
3,0.6859917319017094,0.4054072812493667,3.8184378179723595,1.0,2.314193445723504,0.8502098238095641,1,-0.35438617483066676,1.2601045886251259,0.125,0.1945732266212267,0.24518261568900424,67,175,100,0.1867933910805689,1587198119
4,0.521136358285114,0.26398378074273743,3.743400173336717,1.0,3.3006703089922667,0.986405411735177,1,-0.24684263004134863,1.249952644723034,0.0625,0.13188929541656697,0.1648553736165954,79,254,100,0.09259418358846705,759788228
5,0.4043808598354776,0.16664892809343287,4.050536317127402,1.0,4.341500943992287,1.0407606521621346,1,-0.17510716016629324,1.2533367717680435,0.03125,0.09315572723916252,0.11675549844963634,83,337,100,0.05082631213547913,3439617891
6,0.33730533187041595,0.11161047911780926,4.044926014414347,1.0,5.490448875818402,1.1488759922794998,1,-0.10271210523740035,1.2415591473661014,0.015625,0.054025237627509465,0.06707552796506167,91,428,100,0.02500786734241991,3544370184
7,0.2874113139004117,0.07897312482950103,4.340026823553655,1.0,6.725581863895059,1.2350690811872482,1,-0.0784900939893382,1.216851736850528,0.0078125,0.041002544894368664,0.049894017970004256,97,525,100,0.013705515405258011,2673505557
8,0.2528899067272154,0.06144771458319283,4.820776180172733,1.0,8.046033145859838,1.32038032123819,1,-0.05546489729810506,1.1978422756407674,0.00390625,0.02881966004641938,0.034521407173196295,105,630,100,0.007356678363079438,3893573264
9,0.2314765812167568,0.04700757366253719,4.25329342479712,1.0,9.503469948656857,1.4573659119196236,1,-0.03617969621226554,1.1570812565847084,0.001953125,0.018506328219042377,0.021413325510458603,115,745,100,0.003365801692860965,3265135058
