iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,f_prev,f_next,grad_norm_prev,grad_norm_next,actual_reduction,accepted,gtd,rho,sigma,model_decrease,actual_decrease,lambda_value,cubic_solver,projected_grad_norm,u_norm,y_norm,hvp_calls_iter,hvp_calls_cum,rk_hvp_calls_iter,rk_hvp_calls_cum,subprob_hvp_calls_iter,subprob_hvp_calls_cum,rk_residual_norm_init,rk_residual_norm_final,rk_inner_minres_total_iters,rk_minres_fail,alpha_ws,seed_sketch,rk_seed_base,rk_steps_taken,rk_stop_reason
0,2.3025850929940463,1.9158613282439758,0.0,0.0,0.0,0.0,2.3025850929940463,2.3025850929940463,1.9158613282439758,1.9158613282439758,0.0,1,nan,nan,1.0,nan,0.0,0.0,lanczos,nan,nan,1.0,0,0,0,0,0,0,nan,nan,0,0,nan,,,0,
1,1.2939742596484352,1.1033994955337725,3.2393142365582923,1.0,133.7711271760054,133.74956958694384,2.3025850929940463,1.2939742596484352,1.9158613282439758,1.1033994955337725,1.0086108333456112,1,-1.4664937885696707,1.1691621235396832,0.5,0.8626783343716294,1.0086108333456112,0.9191724761171861,lanczos,1.9163659588626307,0.9191724761171861,10.366628056510383,5596,5596,5549,5549,47,47,4.218768555647856,0.004358547229550091,5448,0,1.0,1641411168,1000003,100,max_steps
2,0.7830991120075235,0.5189569173328732,2.9979951202422424,1.0,269.5534062781371,135.78217175183818,1.2939742596484352,0.7830991120075235,1.1033994955337725,0.5189569173328732,0.5108751476409117,1,-0.7045851392816012,1.2706848583706583,0.25,0.4020470884464491,0.5108751476409117,0.4210250439225841,lanczos,1.1223575352470965,0.8420500878451682,17.97089850699595,5540,11136,5485,11034,55,102,1.8000388686033377,0.004233634203953236,5383,0,1.5071923661776254,1454127163,1000004,100,max_steps
3,0.5233108268922211,0.27728090015851814,2.761947260360593,1.0,408.0024106130004,138.44889307301491,0.7830991120075235,0.5233108268922211,0.5189569173328732,0.27728090015851814,0.2597882851153024,1,-0.3623614303831668,1.2929218362616481,0.125,0.2009311605923942,0.2597882851153024,0.19492582785391824,lanczos,0.5624614700861126,0.779703311415673,31.671277318386423,5482,16618,5411,16445,71,173,0.7004911393862313,0.005409901791197401,5309,0,1.6697006254531879,2749604155,1000005,100,max_steps
4,0.3860693465246937,0.159749223945184,2.781842301742417,1.0,549.1648138430901,141.1622969279997,0.5233108268922211,0.3860693465246937,0.27728090015851814,0.159749223945184,0.13724148036752737,1,-0.19141772940462615,1.298496116423946,0.0625,0.10569263830029,0.13724148036752737,0.09781872553120059,lanczos,0.29535931185603326,0.7825498042496047,58.37777968924977,5528,22146,5449,21894,79,252,0.3884206330407732,0.0062989195803249435,5347,0,1.6626473711911336,3056722145,1000006,100,max_steps
5,0.30425366019580424,0.09178284169199381,2.7892847182184544,1.0,691.230311957188,142.06539076380432,0.3860693465246937,0.30425366019580424,0.159749223945184,0.09178284169199381,0.08181568632888947,1,-0.11487913403848429,1.2970380113544988,0.03125,0.0630788655480106,0.08181568632888947,0.050938418464955774,lanczos,0.1695072303630559,0.8150146954392924,111.67828799786902,5560,27706,5475,27369,85,337,0.432371804009646,0.009362836514675435,5373,0,1.6141523296723368,3734005922,1000007,100,max_steps
6,0.25563370470108265,0.06092881139213349,3.0701564062715865,1.0,836.0910404222086,144.86062335129827,0.30425366019580424,0.25563370470108265,0.09178284169199381,0.06092881139213349,0.04861995549472159,1,-0.06698174215945601,1.2996425295995602,0.015625,0.037410252732881975,0.04861995549472159,0.028424289462671115,lanczos,0.09002708657141771,0.9095772628054757,224.9047324325005,5654,33360,5557,32926,97,434,0.3722423844491727,0.01438087004664955,5455,0,1.6246068733199486,480482724,1000008,100,max_steps
7,0.22286880999894493,0.04274496888193717,3.4291705616962673,1.0,982.9390959800221,146.84795058192685,0.25563370470108265,0.22286880999894493,0.06092881139213349,0.04274496888193717,0.032764894702137726,1,-0.04478061313946717,1.3008917042396202,0.0078125,0.025186489079265073,0.032764894702137726,0.015999961536424242,lanczos,0.05539353726991581,1.0239975383311515,405.51403412922065,5753,39113,5646,38572,107,541,0.3448569076089273,0.018691957237652688,5544,0,1.5133213875216671,1227430691,1000009,100,max_steps
8,0.1952636527301971,0.03096158276150112,3.8573241739512656,1.0,1131.6119982632808,148.6727882293053,0.22286880999894493,0.1952636527301971,0.04274496888193717,0.03096158276150112,0.02760515726874782,1,-0.03832944621990631,1.292106149469507,0.00390625,0.021364465512436048,0.02760515726874782,0.009304671509115322,lanczos,0.04357526130360147,1.1909979531667612,681.6700545412825,5834,44947,5705,44277,129,670,0.5602722308951793,0.02200296859306646,5603,0,1.4605149223516922,3112422837,1000010,100,max_steps
9,0.17422916207154404,0.022901109350966096,4.046921699350425,1.0,1281.6889902241528,150.07688565785065,0.1952636527301971,0.17422916207154404,0.03096158276150112,0.022901109350966096,0.021034490658653066,1,-0.029640744209337738,1.2808726858563138,0.001953125,0.01642199954056377,0.021034490658653066,0.005273240927093908,lanczos,0.03241766312528033,1.3499496773360404,1131.6565619876887,5907,50854,5764,50041,143,813,0.5546318023055076,0.027289117668498255,5662,0,1.495624373288368,2543531098,1000011,100,max_steps
10,0.1567359904991372,0.0169547985571707,4.65156880420072,1.0,1434.3680663271807,152.67896854272112,0.17422916207154404,0.1567359904991372,0.022901109350966096,0.0169547985571707,0.017493171572406846,1,-0.025022126246066784,1.2641532557242199,0.0009765625,0.013837856678528423,0.017493171572406846,0.0031198823413825364,lanczos,0.023715741919003636,1.5973797587878587,1845.2040440426003,5985,56839,5832,55873,153,966,0.486813706645124,0.03436531812859142,5730,0,1.5028800780426548,62818196,1000012,100,max_steps
11,0.14200137295897644,0.01368665872191845,5.127004500226242,1.0,1589.1839804491028,154.81573148118332,0.1567359904991372,0.14200137295897644,0.0169547985571707,0.01368665872191845,0.014734617540160755,1,-0.021043784150525463,1.2628300877225997,0.00048828125,0.011667933543405914,0.014734617540160755,0.0018717617821161615,lanczos,0.018027036693240787,1.9166840648869494,2974.7600807467325,6070,62909,5897,61770,173,1139,0.6326811409819755,0.03926901190637686,5795,0,1.5238294333200404,109501320,1000013,100,max_steps
12,0.12887869419013218,0.010945516122948376,5.770543087926666,1.0,1744.9646823932417,155.7805927079171,0.14200137295897644,0.12887869419013218,0.01368665872191845,0.010945516122948376,0.013122678768844265,1,-0.01862824256464009,1.2661711777564102,0.000244140625,0.010364063721697545,0.013122678768844265,0.0011452111915530908,lanczos,0.014464611472870067,2.34539252030073,4429.828230435529,6162,69071,5967,67737,195,1334,0.7330106832113706,0.0471624748938119,5865,0,1.4656901727043423,1780620601,1000014,100,max_steps
13,0.11941644604664702,0.009846367394137204,5.590731502518157,1.0,1901.820858121384,156.85606837831438,0.12887869419013218,0.11941644604664702,0.010945516122948376,0.009846367394137204,0.00946224814348516,1,-0.013308668585609968,1.2591866587362228,0.0001220703125,0.007514571471859386,0.00946224814348516,0.0006750716395513053,lanczos,0.010544552873962323,2.7650934356021466,6851.818330400884,6225,75296,6014,73751,211,1545,0.6218931518020971,0.053153550272091545,5912,0,1.554333052180893,2540533722,1000015,100,max_steps
14,0.11045783411133459,0.008431498879588975,6.0095048133481646,1.0,2059.158267732244,157.3373007941991,0.11941644604664702,0.11045783411133459,0.009846367394137204,0.008431498879588975,0.00895861193531243,1,-0.012578457214528048,1.2614678962410575,6.103515625e-05,0.007101735971250198,0.00895861193531243,0.0004172530516409499,lanczos,0.010234842064214829,3.4181369990426616,9257.722134291798,6217,81513,6000,79751,217,1762,1.062924988101119,0.06334644247577112,5898,0,1.4040060358516744,2906733372,1000016,100,max_steps
