iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,f_prev,f_next,grad_norm_prev,grad_norm_next,actual_reduction,accepted,gtd,rho,sigma,model_decrease,actual_decrease,lambda_value,cubic_solver,projected_grad_norm,u_norm,y_norm,hvp_calls_iter,hvp_calls_cum,rk_hvp_calls_iter,rk_hvp_calls_cum,subprob_hvp_calls_iter,subprob_hvp_calls_cum,rk_residual_norm_init,rk_residual_norm_final,rk_inner_minres_total_iters,rk_minres_fail,alpha_ws,seed_sketch,rk_seed_base,rk_steps_taken,rk_stop_reason
0,2.3025850929940463,1.9158613282439758,0.0,0.0,0.0,0.0,2.3025850929940463,2.3025850929940463,1.9158613282439758,1.9158613282439758,0.0,1,nan,nan,1.0,nan,0.0,0.0,lanczos,nan,nan,1.0,0,0,0,0,0,0,nan,nan,0,0,nan,,,0,
1,1.3926265133915081,1.0865940168371098,4.060980240942366,1.0,60.944757108576596,60.92329262383282,2.3025850929940463,1.3926265133915081,1.9158613282439758,1.0865940168371098,0.9099585796025382,1,-1.3308128714047676,1.1805917702629238,0.5,0.770764799927316,0.9099585796025382,0.8582360570997385,lanczos,1.8440046433677717,0.8582360570997385,8.88246454846008,3629,3629,3578,3578,51,51,4.218768555647856,0.01122035883637246,3477,0,1.0,1641411168,1000003,100,max_steps
2,0.9104544794681785,0.6244585222458967,3.890168538050794,1.0,120.6077593928203,59.66290163900703,1.3926265133915081,0.9104544794681785,1.0865940168371098,0.6244585222458967,0.48217203392332963,1,-0.6728577570090498,1.2684061649346352,0.25,0.38014009018016515,0.48217203392332963,0.40323792205515246,lanczos,1.068630258124427,0.8064758441103049,15.248506305651022,3566,7195,3505,7083,61,112,2.0265615829149377,0.011417209927429726,3403,0,1.4644953466423796,1454127163,1000004,100,max_steps
3,0.6606684432381399,0.40313441528060867,3.6079684324325574,1.0,180.3018815149553,59.69401568127796,0.9104544794681785,0.6606684432381399,0.6244585222458967,0.40313441528060867,0.2497860362300386,1,-0.36038287155746535,1.2632596656588042,0.125,0.1977313477350457,0.2497860362300386,0.18736403283317982,lanczos,0.632928275209831,0.7494561313327193,25.0183168155849,3569,10764,3496,10579,73,185,0.784472626514073,0.010599322118701767,3394,0,1.5698698596810705,2749604155,1000005,100,max_steps
4,0.48975548060195373,0.24651608077591533,3.725031398883963,1.0,240.97638514684513,60.67440480226651,0.6606684432381399,0.48975548060195373,0.40313441528060867,0.24651608077591533,0.17091296263618616,1,-0.25135004590505833,1.2607661659831348,0.0625,0.13556277702210517,0.17091296263618616,0.0975041224280702,lanczos,0.42220461714600455,0.7800329794245616,39.28502568443616,3629,14393,3546,14125,83,268,0.5056497804617056,0.01128099185145413,3444,0,1.5559576135970492,3056722145,1000006,100,max_steps
5,0.3862453884842329,0.15508247264964484,3.5032306600947285,1.0,302.18993922602385,61.21345525002107,0.48975548060195373,0.3862453884842329,0.24651608077591533,0.15508247264964484,0.10351009211772083,1,-0.1549490107922219,1.2540691927515137,0.03125,0.08253937878069757,0.10351009211772083,0.049146579033232995,lanczos,0.2667144350570225,0.7863452645317279,63.89666500381794,3665,18058,3576,17701,89,357,0.33924498317705853,0.012554233356694292,3474,0,1.5886538080624215,3734005922,1000007,100,max_steps
6,0.3128689131532539,0.09903908057982987,3.863716195062024,1.0,363.9247840680182,61.7347455942072,0.3862453884842329,0.3128689131532539,0.15508247264964484,0.09903908057982987,0.07337647533097902,1,-0.10958958786173574,1.2518524768488852,0.015625,0.058614314935637984,0.07337647533097902,0.028180805296615995,lanczos,0.1646962248938429,0.9017857694917119,106.95891441226385,3696,21754,3601,21302,95,452,0.3465167496164038,0.01708955889136704,3499,0,1.5830834683253343,480482724,1000008,100,max_steps
7,0.2687751853836922,0.0711950548881772,3.829633852169307,1.0,426.127220290713,62.20233914023265,0.3128689131532539,0.2687751853836922,0.09903908057982987,0.0711950548881772,0.044093727769561664,1,-0.06411411111078058,1.2657930655720908,0.0078125,0.03483486279776146,0.044093727769561664,0.015964836333538342,lanczos,0.08803172475555537,1.021749525346454,175.8480594659052,3722,25476,3625,24927,97,549,0.2799992400858391,0.024210322254831232,3523,0,1.5698286815663303,1227430691,1000009,100,max_steps
8,0.23456582298306006,0.05533092136365978,3.633935526653154,1.0,489.6714911228046,63.54416145617142,0.2687751853836922,0.23456582298306006,0.0711950548881772,0.05533092136365978,0.03420936240063216,1,-0.0504476642515837,1.2527739750798288,0.00390625,0.027306891012365005,0.03420936240063216,0.009137154092017333,lanczos,0.07496212348454309,1.1695557237782186,271.6780402666892,3804,29280,3695,28622,109,658,0.36436193221200924,0.024979488642904484,3593,0,1.4700886312734012,3112422837,1000010,100,max_steps
9,0.20504774095884173,0.04162537613484031,3.99811661661091,1.0,553.688706733752,64.01711252098903,0.23456582298306006,0.20504774095884173,0.05533092136365978,0.04162537613484031,0.029518082024218323,1,-0.04382892076516561,1.2429580013303183,0.001953125,0.02374825375646288,0.029518082024218323,0.0055166305767784885,lanczos,0.0626262059664152,1.412257427655293,403.58514445267,3834,33114,3713,32335,121,779,0.4505819705396499,0.029545746227281993,3611,0,1.4597434359385673,2543531098,1000011,100,max_steps
10,0.18220268154895558,0.0305401752553511,4.202012950168074,1.0,617.8432852500118,64.1544814328663,0.20504774095884173,0.18220268154895558,0.04162537613484031,0.0305401752553511,0.022845059409886154,1,-0.03351033372103689,1.24288105717554,0.0009765625,0.018380728612761858,0.022845059409886154,0.00333839912275906,lanczos,0.041952923166326136,1.7092603508526387,613.2898252767199,3844,36958,3723,36058,121,900,0.4659433479125754,0.03889846338770346,3621,0,1.5151818117934894,62818196,1000012,100,max_steps
11,0.16437652301659364,0.024991464465210653,3.8689331362070396,1.0,682.0347457956523,64.19133929815143,0.18220268154895558,0.16437652301659364,0.0305401752553511,0.024991464465210653,0.01782615853236194,1,-0.02492383362456264,1.2785740894517355,0.00048828125,0.013942217881175712,0.01782615853236194,0.0020384518650286743,lanczos,0.03195024161282331,2.0873747097893625,931.4173177620594,3849,40807,3726,39784,123,1023,0.6245619295939483,0.044014126228033114,3624,0,1.5306914420746054,109501320,1000013,100,max_steps
12,0.14844929529821324,0.021024201594471825,4.475811572052942,1.0,746.7727048099041,64.73786346707493,0.16437652301659364,0.14844929529821324,0.024991464465210653,0.021024201594471825,0.0159272277183804,1,-0.021734281732752866,1.2880785886428405,0.000244140625,0.01236510556018311,0.0159272277183804,0.0012892317582067418,lanczos,0.023312288882414274,2.640346640807407,1295.802409981155,3886,44693,3757,43541,129,1152,0.47913457113120034,0.04741072721068664,3655,0,1.4347644988734012,1780620601,1000014,100,max_steps
13,0.1340629705750339,0.01758963629120681,4.432147001689651,1.0,812.0153626967221,65.24255759082735,0.14844929529821324,0.1340629705750339,0.021024201594471825,0.01758963629120681,0.014386324723179328,1,-0.019047516086312763,1.3042336231695075,0.0001220703125,0.011030481401191094,0.014386324723179328,0.0008137449416134954,lanczos,0.02219454471650504,3.3330992808488773,1731.0554529169347,3912,48605,3785,47326,127,1279,0.39873317963830424,0.05498498626902363,3683,0,1.399540228184811,2540533722,1000015,100,max_steps
14,0.12065244804783115,0.014220668977117627,4.959529246157083,1.0,877.3214848367497,65.30602659517899,0.1340629705750339,0.12065244804783115,0.01758963629120681,0.014220668977117627,0.013410522527202762,1,-0.017391359937004282,1.3186385411436603,6.103515625e-05,0.010169976160086875,0.013410522527202762,0.0005089229277598822,lanczos,0.019622995181705172,4.169096624208955,2369.9027942141747,3913,52518,3780,51106,133,1412,0.5820632798261117,0.05384111892648635,3678,0,1.4620640997614724,2906733372,1000016,100,max_steps
15,0.10849573279117519,0.01185851199536671,5.900553738052278,1.0,942.778649658896,65.45705928700045,0.12065244804783115,0.10849573279117519,0.014220668977117627,0.01185851199536671,0.012156715256655959,1,-0.01492990436038959,1.3582979337589745,3.0517578125e-05,0.008949962268596904,0.012156715256655959,0.00032137618574207364,lanczos,0.013064149279080473,5.2654274271981345,3349.875904133318,3926,56444,3787,54893,139,1551,0.563136477068673,0.06964102438938537,3685,0,1.5206723258732622,944647869,1000017,100,max_steps
16,0.09592721342986589,0.01010849128044291,7.249644674002786,1.0,1008.0714541999623,65.29269334999844,0.10849573279117519,0.09592721342986589,0.01185851199536671,0.01010849128044291,0.012568519361309302,1,-0.01579507391357081,1.336174551461309,1.52587890625e-05,0.009406345411655779,0.012568519361309302,0.00020353005120914115,lanczos,0.013058449231251637,6.669272718021137,4264.38714229566,3917,60361,3782,58675,135,1686,0.46374824108011325,0.07965221261988192,3680,0,1.3918039333416405,2322480296,1000018,100,max_steps
17,0.08466527965030982,0.007675699340199264,8.636656892914298,1.0,1073.5890756216832,65.51751679508016,0.09592721342986589,0.08466527965030982,0.01010849128044291,0.007675699340199264,0.011261933779556074,1,-0.013627802792773853,1.3698812690831605,7.62939453125e-06,0.008221102101128447,0.011261933779556074,0.00012527068268012732,lanczos,0.010362287298571441,8.209739460124824,5693.795741950096,3932,64293,3789,62464,143,1829,0.8877324121637749,0.1009163990576628,3687,0,1.4869626836325698,790193525,1000019,100,max_steps
18,0.0740406663703587,0.005896435548738256,10.598382182417485,1.0,1139.5645474009216,65.97536631627008,0.08466527965030982,0.0740406663703587,0.007675699340199264,0.005896435548738256,0.010624613279951123,1,-0.01237450928515524,1.3927444015743868,3.814697265625e-06,0.007628544956232344,0.010624613279951123,7.95477870545511e-05,lanczos,0.007778121815528559,10.426487544814123,7942.72364086261,3957,68250,3816,66280,141,1970,0.862548771640087,0.10396138443771144,3714,0,1.5551541007918248,3782144032,1000020,100,max_steps
19,0.06360235836136562,0.004763139478302874,13.112857050132723,1.0,1205.4807326109149,65.91608205065131,0.0740406663703587,0.06360235836136562,0.005896435548738256,0.004763139478302874,0.010438308008993077,1,-0.012217263577441264,1.391929824485184,1.9073486328125e-06,0.007499162547834453,0.010438308008993077,4.951658737223098e-05,lanczos,0.005877318668827185,12.980476280106117,10519.395017994817,3955,72205,3818,70098,137,2107,1.175275382889437,0.1194601517784541,3716,0,1.503209918378793,2713856450,1000021,100,max_steps
20,0.053659460007024685,0.0036844284851363608,16.111848836289145,1.0,1271.6072122040205,66.12637084629387,0.06360235836136562,0.053659460007024685,0.004763139478302874,0.0036844284851363608,0.00994289835434093,1,-0.011713850914718847,1.3889220957739556,9.5367431640625e-07,0.007158715657698859,0.00994289835434093,3.0515254983562627e-05,lanczos,0.004714525841183325,15.998782004822083,13326.13353925912,3962,76167,3829,73927,133,2240,1.2370242761935566,0.13502815213942546,3727,0,1.4861944801429643,327196092,1000022,100,max_steps
21,0.04426081123700416,0.0028387253049645964,19.638563727975853,1.0,1338.0819568559527,66.47462026029825,0.053659460007024685,0.04426081123700416,0.0036844284851363608,0.0028387253049645964,0.009398648770020522,1,-0.0111177922627469,1.3904725140381256,4.76837158203125e-07,0.006759320069352208,0.009398648770020522,1.8710915015423266e-05,lanczos,0.003697671205930738,19.619816423212466,16661.380559450114,3989,80156,3850,77777,139,2379,2.1938658107394304,0.13014691569369044,3748,0,1.501827063711017,105208945,1000023,100,max_steps
22,0.035497235239133534,0.0018921461331466577,23.738192713804708,1.0,1405.1123452829197,67.03029336920008,0.04426081123700416,0.035497235239133534,0.0028387253049645964,0.0018921461331466577,0.008763575997870629,1,-0.010555917906065459,1.3827373327344847,2.384185791015625e-07,0.006337845800792755,0.008763575997870629,1.1308043759043536e-05,lanczos,0.002874265860429571,23.71468658536567,20657.809395027794,4021,84177,3882,81659,139,2518,1.248546624478784,0.14878877460494816,3780,0,1.5518963570024784,2346347528,1000024,100,max_steps
23,0.027378167096778965,0.0012524519653547002,28.56864321988259,1.0,1472.5230560549535,67.41060153627768,0.035497235239133534,0.027378167096778965,0.0018921461331466577,0.0012524519653547002,0.00811906814235457,1,-0.00994426208514697,1.3768893086895417,1.1920928955078125e-07,0.005896674548284434,0.00811906814235457,6.806379017465556e-06,lanczos,0.0018017483046371282,28.54802273847185,26581.89466884453,4044,88221,3913,85572,131,2649,1.420433736645582,0.24304118039326641,3811,0,1.6622775451231186,3460154029,1000025,100,max_steps
24,0.019881854392028577,0.0012891087939852575,34.04621351653148,1.0,1541.059300464578,68.53612846974283,0.027378167096778965,0.019881854392028577,0.0012524519653547002,0.0012891087939852575,0.007496312704750388,1,-0.00937420330423032,1.3706054095739295,5.960464477539063e-08,0.005469344168925114,0.007496312704750388,4.055503316008521e-06,lanczos,0.0013212374659693818,34.02002756069561,32969.982022082615,4110,92331,3975,89547,135,2784,1.695984415753701,0.3394177608114079,3873,0,1.7503459678113904,1755984993,1000026,100,max_steps
25,0.013656895928441997,0.00292893965371785,40.89786131609185,1.0,1610.9126127366908,69.85320624895394,0.019881854392028577,0.013656895928441997,0.0012891087939852575,0.00292893965371785,0.00622495846358658,1,-0.008060618048255606,1.3219761651591506,2.9802322387695312e-08,0.004708828061841166,0.00622495846358658,2.436391431016113e-06,lanczos,0.0014882219962103135,40.87586529870643,35891.20812501281,4187,96518,4052,93599,135,2919,3.0313796340595482,0.262076659530518,3950,0,1.8631310390724782,3932072914,1000027,100,max_steps
26,0.009018979143152528,0.001493243810640542,46.42250679111833,1.0,1682.2325307508,71.3198115020059,0.013656895928441997,0.009018979143152528,0.00292893965371785,0.001493243810640542,0.0046379167852894695,1,-0.005826443171736911,1.3605951296538659,1.4901161193847656e-08,0.003408741281081427,0.0046379167852894695,1.3822846086666928e-06,lanczos,0.0030486496774031293,46.381774906153154,37956.68524535273,4278,100796,4133,97732,145,3064,4.040607865187526,0.09463748161014887,4031,0,1.9426757289152632,47291947,1000028,100,max_steps
27,0.0057391076368394104,0.0014830348336686778,51.723949076652005,1.0,1754.936516505666,72.70387791609392,0.009018979143152528,0.0057391076368394104,0.001493243810640542,0.0014830348336686778,0.0032798715063131175,1,-0.004263887705857571,1.3253426050482768,1e-08,0.0024747348299375355,0.0032798715063131175,7.701743371392652e-07,lanczos,0.00155826499093047,51.685524847369095,58741.281159941114,4354,105150,4215,101947,139,3203,3.509880999908598,0.07143889042699543,4113,0,1.9555908255590757,3089512140,1000029,100,max_steps
28,0.003830666061089954,0.000466235416728899,49.63928626785984,1.0,1828.2874854048714,73.3508648313582,0.0057391076368394104,0.003830666061089954,0.0014830348336686778,0.000466235416728899,0.0019084415757494562,1,-0.0024122624779497584,1.353789427420974,1e-08,0.0014097034125795456,0.0019084415757494562,4.962423528283288e-07,lanczos,0.0014932717978431989,49.62423528283288,80052.03948042002,4397,109547,4254,106201,143,3346,2.8086130941424647,0.056161019113778854,4152,0,1.9581364818378626,2039164698,1000030,100,max_steps
