iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,accepted,armijo_iters,gtd,hvp_calls_iter,hvp_calls_cum,subspace_dim,eta,lambda_min_phpt,lambda_shift,seed_sketch,used_grad_fallback
0,2.3025850929940463,1.9158613282439758,0.0,0.0,0.0,0.0,,,,0,0,200,,,,,
1,1.3982218760519378,1.1249146916133812,2.6494678237520044,1.0,2.5148465200327337,2.4426964740268886,1,0,-1.2583913622873146,200,200,200,1.3841464258682952,0.015780022509255233,0.0,3757552657,0
2,1.0022589880622879,0.6873611735020726,1.933928036974513,1.0,4.951442901976407,2.436517806723714,1,0,-0.4970603501933778,200,400,200,1.0606199562583107,0.012470327377456665,0.0,673228719,0
3,0.7472346731039295,0.47039467284955955,1.7076352678733044,1.0,7.387069850694388,2.435550818685442,1,0,-0.3184825809625772,200,600,200,0.8290724778341593,0.011218005602493763,0.0,3241444873,0
4,0.6109283077903478,0.3476712237861053,1.3922751771797017,1.0,9.816759373061359,2.429625754710287,1,0,-0.16684354846328867,200,800,200,0.6858532443967583,0.008382987614823721,0.0,3685993406,0
5,0.5170446463989838,0.26458232905803525,1.2359144939153572,1.0,12.24661414604634,2.429785627871752,1,0,-0.11312163983150304,200,1000,200,0.5896365183620375,0.0075268903463721875,0.0,1216546553,0
6,0.44574949983815004,0.20260153603997932,1.183632016954952,1.0,14.674771153833717,2.4280884908512235,1,0,-0.08517598741902434,200,1200,200,0.5143756691932806,0.005880477332552309,0.0,2078861726,0
7,0.40387695109628696,0.16582859952782283,1.0017229297939614,1.0,17.12141883885488,2.4465781897306442,1,0,-0.048985944637254676,200,1400,200,0.45011280368367584,0.00538843502404784,0.0,2471122328,0
8,0.3678929753554067,0.13827419706571847,0.9955350698247168,1.0,19.60216213669628,2.480664723087102,1,0,-0.041502862514747364,200,1600,200,0.40722057846801263,0.004573425323033966,0.0,23012616,0
9,0.3389983824944115,0.115337584971269,0.9239338454370833,1.0,22.10210956586525,2.4998787720687687,1,0,-0.033332464114030624,200,1800,200,0.3718523861234703,0.004398170120365444,0.0,3031610183,0
10,0.3170763151960344,0.09966900733192535,0.8664713854754273,1.0,24.669813371729106,2.56763333408162,1,0,-0.024959812571144154,200,2000,200,0.33961387629375367,0.003918144041235146,0.0,2976135721,0
11,0.29979649415739434,0.0860215431632278,0.8004304006118362,1.0,27.249265545979142,2.579383586999029,1,0,-0.019435391032450663,200,2200,200,0.31570398687999707,0.003372616186807855,0.0,556745865,0
12,0.28487702116303926,0.0758741346644703,0.7526973661327936,1.0,29.84739201562479,2.598056487273425,1,0,-0.016860969747679068,200,2400,200,0.29329429446074773,0.0033176926444104414,0.0,4118645239,0
13,0.27162050126349496,0.067239590318084,0.7273284805768073,1.0,32.458264713641256,2.6108036218211055,1,0,-0.01485634191792855,200,2600,200,0.27545259966910873,0.0030198930953076234,0.0,2090914255,0
14,0.26032554766088706,0.05960016106305663,0.7045632267914979,1.0,35.08986309170723,2.6315287430770695,1,0,-0.01271859944229967,200,2800,200,0.2593059781765241,0.002880281010502585,0.0,1802160804,0
15,0.2510839571076871,0.05523505441797171,0.6717729841236657,1.0,37.74962307699025,2.6596874883398414,1,0,-0.010308586041743069,200,3000,200,0.24413144218444421,0.002435930458355666,0.0,3957305396,0
16,0.2420179498933931,0.04896440156890806,0.6697870067884305,1.0,40.41341982875019,2.663723486009985,1,0,-0.010152197908909753,200,3200,200,0.23502139140506276,0.002620623499618843,0.0,2416193258,0
17,0.23503408262978617,0.04497184626486363,0.6125271920477826,1.0,43.09435019176453,2.680858981795609,1,0,-0.0076993957446544635,200,3400,200,0.22127901294272817,0.0023403818360566322,0.0,2322685169,0
18,0.22880472310523764,0.04252294514471466,0.5972976739270341,1.0,45.79783691186458,2.7034086352214217,1,0,-0.006935607734597851,200,3600,200,0.21206566498342824,0.0023032267934652807,0.0,3860999861,0
