iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,accepted,armijo_iters,gtd,hvp_calls_iter,hvp_calls_cum,subspace_dim,eta,lambda_min_phpt,lambda_shift,seed_sketch,used_grad_fallback
17,0.23262539689179557,0.044705114976433154,0.6432486999243507,1.0,47.50211683101952,2.791006955783814,1,0,-0.008706638413202005,200,3400,200,0.2226507190691593,0.002253472780754716,0.0,3254272080,0
18,0.225480149047659,0.04117366378977775,0.6314236506953128,1.0,50.31859181681648,2.816394457127899,1,0,-0.007973523488896806,200,3600,200,0.2114358412768118,0.0020619764028724395,0.0,2885966179,0
19,0.22040417071497154,0.03800204498119662,0.5583567194374768,1.0,53.11338340584189,2.794719718862325,1,0,-0.005548127938935933,200,3800,200,0.20291294633358845,0.0021131172002957915,0.0,4114057322,0
20,0.21522261167632886,0.03571105686661992,0.575357758704537,1.0,55.919256780762225,2.805800946895033,1,0,-0.005671209524104943,200,4000,200,0.1949411320917077,0.0020463267582663046,0.0,4208603115,0
21,0.21095142070010225,0.03372844857323948,0.5228386903173466,1.0,58.735094440635294,2.815681907813996,1,0,-0.0046960049978745175,200,4200,200,0.1889736935835777,0.0019495681062616434,0.0,4258221000,0
22,0.20702788698669117,0.031548497701201106,0.5141721553039564,1.0,61.50532457092777,2.770159099716693,1,0,-0.004301890059531983,200,4400,200,0.1836530657877496,0.0018908197984850083,0.0,3754266960,0
23,0.20325550610447474,0.030122536078784023,0.5194074785769128,1.0,64.28164634900168,2.7762527028098702,1,0,-0.004153952268727199,200,4600,200,0.17761896774050093,0.0018699807228859757,0.0,575659476,0
24,0.19932632043674123,0.027964578299299245,0.5233398514339052,1.0,67.06595561886206,2.7842368418350816,1,0,-0.004310975133510949,200,4800,200,0.17355845147610652,0.0016533176535578238,0.0,2952711084,0
25,0.19577244223508988,0.026419818584955297,0.5182793905243384,1.0,69.86306888796389,2.797037139069289,1,0,-0.00386891770549476,200,5000,200,0.16722612923613117,0.0017482508906154313,0.0,1811304333,0
26,0.1927675610586748,0.025618353619718957,0.4815225688670617,1.0,72.64195784786716,2.7788170920684934,1,0,-0.0032762457621570815,200,5200,200,0.16254174413040884,0.0016677322221463956,0.0,1839828659,0
27,0.18947391263345567,0.02401419860294661,0.5006704804583698,1.0,75.43418930470943,2.792152951937169,1,0,-0.003569642244307599,200,5400,200,0.16005734478529549,0.00156229785939758,0.0,2776770335,0
28,0.18690323706800963,0.022961612519335976,0.45912438912273695,1.0,78.22370969876647,2.7894404232501984,1,0,-0.002785715796570356,200,5600,200,0.1549651528665287,0.001526348758356172,0.0,1643236589,0
29,0.18496525961645013,0.022216005435033936,0.39576262400887435,1.0,80.99911358579993,2.7753324368968606,1,0,-0.00209982279367119,200,5800,200,0.1515308962533251,0.0015998603719240367,0.0,2744105235,0
30,0.18307905257061363,0.021815836045436424,0.39274312409349565,1.0,83.79714760463685,2.797958727926016,1,0,-0.0020548687513163,200,6000,200,0.14905034530330327,0.0014408513737502098,0.0,3194807498,0
31,0.18067253019656127,0.020509334985517953,0.4405358837805104,1.0,86.58809532877058,2.7908750157803297,1,0,-0.002606543620032976,200,6200,200,0.14770184848347845,0.0016181633627997483,0.0,1056016120,0
32,0.17871923267259215,0.019861159767125366,0.4063210219073547,1.0,89.41072628460824,2.8225570609793067,1,0,-0.002120855136243373,200,6400,200,0.1432108061059568,0.001412768557589769,0.0,3733510537,0
33,0.17637554639100197,0.01888188982610381,0.4594371690078418,1.0,92.21361277997494,2.802809318061918,1,0,-0.002565845009351612,200,6600,200,0.14092962700271852,0.0014420860004831382,0.0,1024595083,0
34,0.17463473112663927,0.018296761968438737,0.39539005830125934,1.0,95.0305959447287,2.8169054989703,1,0,-0.0018807682462625458,200,6800,200,0.13741138899706898,0.001394097413072976,0.0,2057651476,0
35,0.1726587545633756,0.01772551587077993,0.41775251808922265,1.0,97.84671311592683,2.8160453708842397,1,0,-0.002158956494882144,200,7000,200,0.13526552394619532,0.0013426096526974643,0.0,1170293641,0
36,0.17068399717673718,0.01730149250506857,0.43033324865163725,1.0,100.63548645563424,2.7886956739239395,1,0,-0.0021478789764213494,200,7200,200,0.13313720693622774,0.0012224882142544081,0.0,1475123030,0
37,0.16934338999387644,0.016862858455146686,0.3489613698944223,1.0,103.42242730082944,2.7868655528873205,1,0,-0.0014560863906630235,200,7400,200,0.13153513791025032,0.0013816428511706051,0.0,3136918783,0
38,0.16774156913492025,0.016109207056259553,0.39472633653966727,1.0,106.20056159375235,2.7780525060370564,1,0,-0.0017287947291740361,200,7600,200,0.12985706933065555,0.001275407585046136,0.0,1772469187,0
39,0.16618926326982494,0.015513162204202992,0.3937886127198518,1.0,109.06749748671427,2.8668624870479107,1,0,-0.001672937474613445,200,7800,200,0.126922051103264,0.001258036190756368,0.0,3592072806,0
40,0.16484529060971057,0.015395959108910373,0.36399754378553206,1.0,111.8758780430071,2.8083053338341415,1,0,-0.0014529852456255075,200,8000,200,0.12455184544679775,0.0013091833730974776,0.0,3875138861,0
41,0.16339522163231893,0.0147417676103836,0.3806696365210205,1.0,114.72149679856375,2.8452231590636075,1,0,-0.0015707625066106548,200,8200,200,0.12408045417756325,0.0012985805992235492,0.0,395022509,0
42,0.16208260050188558,0.014374478522747255,0.3624931392514806,1.0,117.50193426385522,2.7803656649775803,1,0,-0.0014257861288338534,200,8400,200,0.12141568107284825,0.0013061740062125069,0.0,660951899,0
43,0.16083378185850217,0.014057119001038622,0.36376248351772517,1.0,120.29903809772804,2.7970304270274937,1,0,-0.001355889266803439,200,8600,200,0.1198936133526188,0.0011208618329067717,0.0,4083216427,0
44,0.15948518948634285,0.013550233759160936,0.3735526636486774,1.0,123.07609986467287,2.776987942866981,1,0,-0.0014508553163004143,200,8800,200,0.1185627218017477,0.0012106058612862563,0.0,3398329949,0
45,0.15849479314740186,0.013338269159485341,0.3229138954656949,1.0,125.86267444584519,2.7865008949302137,1,0,-0.0010738402569583805,200,9000,200,0.11640547134546957,0.0012298484409320478,0.0,900937275,0
46,0.1572702498633577,0.013084726514342065,0.36286944395216336,1.0,128.64635448390618,2.78360376926139,1,0,-0.001328179373044514,200,9200,200,0.11549142461449396,0.001213324651129995,0.0,4094077613,0
