iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,accepted,gtd,rho,sigma,model_decrease,actual_decrease,hvp_calls_iter,hvp_calls_cum,subspace_dim,lambda_value,seed_sketch
0,2.3025850929940463,1.9158613282439758,0.0,0.0,0.0,0.0,,,,1.0,,,0,0,200,0.0,
1,1.2444243619520259,1.111372238663716,3.378236857678575,1.0,0.7418078668415546,0.6693953182548285,1,-1.6292369672816662,1.116362042193633,0.5,0.947865200578436,1.0581607310420205,47,47,200,0.9281167043813946,819382448
2,0.765754000458491,0.5027727359225214,3.0383515209360095,1.0,1.5046599097549915,0.7627776591107249,1,-0.6775260297457871,1.242347978540223,0.25,0.3852949171744776,0.4786703614935349,53,100,200,0.41173143111403654,1645421708
3,0.5273353238249163,0.2772071880345742,2.8111126395750485,1.0,2.4202057337388396,0.9154700431972742,1,-0.32900164183546377,1.2968462316899803,0.125,0.18384498547902647,0.23841867663357463,65,165,200,0.19357996852230966,3451799802
4,0.39286740756335425,0.15742078001833715,2.8121245150478416,1.0,3.4972995189018548,1.0770195410586894,1,-0.1854970126741273,1.305525170317598,0.0625,0.10299909899772347,0.13446791626156207,77,242,200,0.09868248654381234,118549108
5,0.3180151198504589,0.10066841326988046,2.979310276513979,1.0,4.658168337773532,1.1607930390164256,1,-0.10389227023323458,1.298957545024411,0.03125,0.057624891590655244,0.07485228771289537,83,325,200,0.051056947136990195,2942680743
6,0.2640074417534703,0.0653490395085482,3.285306781693115,1.0,5.93182220403105,1.273575431201607,1,-0.07471618423954933,1.3029424673739873,0.015625,0.04145054708811376,0.05400767809698859,91,416,200,0.028836667360033142,523213049
7,0.22761140064362034,0.04562152084692609,3.5992440301676982,1.0,7.376701321918517,1.4448052942752838,1,-0.051665814478420675,1.2800387840541336,0.0078125,0.02843354557943671,0.03639604110984995,103,519,200,0.015617940184010913,2426322228
8,0.2010059622810613,0.03212500247865816,3.972482946574009,1.0,9.098414699081331,1.7216377346776426,1,-0.03818991190221479,1.2732918687445887,0.00390625,0.02089500374237909,0.026605438362559047,123,642,200,0.008703056094821644,957805864
9,0.18067947582696003,0.023266159255048526,4.452418987255372,1.0,11.017612678930163,1.9191213613376021,1,-0.030097545337294376,1.243437129873016,0.001953125,0.01634701583680155,0.02032648645410126,137,779,200,0.004916723531741219,3907547549
10,0.1649674573777574,0.01945844480760081,4.766743850008064,1.0,13.155503711663187,2.1378144142217934,1,-0.024098508026848705,1.2167178567418853,0.0009765625,0.012913444445761752,0.01571201844920264,153,932,200,0.002704416606954656,753409714
11,0.15233161118398209,0.01480543911743478,5.191194042698586,1.0,15.666148842778057,2.5105121480301023,1,-0.02010268622211503,1.1948691013824038,0.00048828125,0.010575088249546553,0.012635846193775307,171,1103,200,0.0014417516155375153,527577828
12,0.1430760985213991,0.012826055022656133,5.905221257911327,1.0,18.351359371095896,2.6851316043175757,1,-0.01531123315791053,1.1533856288891544,0.000244140625,0.008024647117804932,0.009255512662582982,191,1294,200,0.0008081982073532735,3540099763
13,0.13390787058290302,0.01120012019523305,6.871109160597128,1.0,21.144782335031778,2.793346763588488,1,-0.015345188960639829,1.1454565754623007,0.0001220703125,0.008003994332823866,0.009168227938496087,199,1493,200,0.0004912032335672237,3520803796
