iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,accepted,armijo_iters,gtd,hvp_calls_iter,hvp_calls_cum,subspace_dim,eta,lambda_min_phpt,lambda_shift,seed_sketch,used_grad_fallback
0,2.3025850929940463,1.9158613282439758,0.0,0.0,0.0,0.0,,,,0,0,100,,,,,
1,1.5118702196086973,1.3652009875761868,3.4017177589358836,1.0,1.306899884250015,1.2356952936388552,1,0,-1.1581015515503263,100,100,100,1.3841464258682952,0.07596653252741101,0.0,2001025171,0
2,1.1401358304835139,0.8204153051647756,2.3900050071137757,1.0,2.4886306980624795,1.1816579662263393,1,0,-0.48369492264780467,100,200,100,1.1684181561308378,0.06452459121455013,0.0,2240297063,0
3,0.9198910884156438,0.6312762242817348,2.1270317775743277,1.0,3.669069472234696,1.1803738889284432,1,0,-0.2735828612789081,100,300,100,0.9057677987016184,0.060588305491373486,0.0,1311118443,0
4,0.7391946860993024,0.47005512522081216,1.9453040049857184,1.0,4.84780957410112,1.1786810150370002,1,0,-0.2300074375556426,100,400,100,0.7945289323125589,0.055773997577659,0.0,2854122131,0
5,0.6351135500676536,0.3670736082923289,1.638480745885095,1.0,6.028319799341261,1.1804486932232976,1,0,-0.1287215681661063,100,500,100,0.6856056630606344,0.04491330375865335,0.0,2478801236,0
6,0.5581507633412065,0.29412953295223404,1.5297059755054476,1.0,7.207275721244514,1.178889639209956,1,0,-0.09592543072016095,100,600,100,0.6058659986270305,0.040307335048079006,0.0,2895795964,0
7,0.4928308753634155,0.2483424518213774,1.471374751570584,1.0,8.386811207979918,1.179474442731589,1,0,-0.08034801461001542,100,700,100,0.5423371026882027,0.032286865267609696,0.0,25834032,0
8,0.44212076723352683,0.1972368357935126,1.3727823390965308,1.0,9.565447316039354,1.1785609559156,1,0,-0.06289817778325595,100,800,100,0.49833969520937965,0.031444348827145856,0.0,3538555021,0
9,0.4020666042292145,0.1667018525570569,1.356114011293648,1.0,10.74398410692811,1.1784742809832096,1,0,-0.048309546462056235,100,900,100,0.44411353930443576,0.025836229384785928,0.0,3039846940,0
10,0.36862080845487444,0.14330182554281212,1.3208727736933432,1.0,11.922993951011449,1.1789460768923163,1,0,-0.03971110423051637,100,1000,100,0.40829138192846653,0.023016358317136658,0.0,758575323,0
11,0.3473960119255844,0.12605051981926435,1.045586456122971,1.0,13.10183533327654,1.1787817347794771,1,0,-0.02560381715564199,100,1100,100,0.37855227583890194,0.020803422786774172,0.0,923768393,0
12,0.32658615754423354,0.11270780738645746,1.1107390298433495,1.0,14.281090260948986,1.1791887157596648,1,0,-0.02469260772410843,100,1200,100,0.35503594158798113,0.01965613206016267,0.0,3051805348,0
13,0.3060196877196165,0.09176430136924608,1.1141604796601188,1.0,15.459944494999945,1.1787723070010543,1,0,-0.02495412636216619,100,1300,100,0.33571983466345484,0.018210192911834955,0.0,3476010160,0
14,0.2926761186476503,0.0829043883698886,0.9705485874384742,1.0,16.63980608806014,1.1797962193377316,1,0,-0.015675460023281337,100,1400,100,0.30292623090324494,0.019284225399881262,0.0,932135537,0
